,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8112359550561797,0.8609052218133233,0.6783216783216783,0.5480225988700564,0.60625,0.4887102639090668
Decision Tree,0.7438202247191011,0.6708578816726849,0.5171428571428571,0.5112994350282486,0.5142045454545454,0.34026502866478237
KNN,0.753558052434457,0.7752092008039762,0.5389408099688473,0.4887005649717514,0.5125925925925926,0.34895395721306394
Naive Bayes,0.7655430711610487,0.8383553044569992,0.5427974947807933,0.7344632768361582,0.6242496998799519,0.4704795645966955
Random Forest,0.799250936329588,0.8360674856165449,0.6666666666666666,0.4858757062146893,0.5620915032679739,0.4451748861681467
XGBoost,0.8,0.8459458525544671,0.6494845360824743,0.5338983050847458,0.586046511627907,0.45965272386835015
